Site	Latitude	Longitude	Earliest Age	Latest Age	Fauna
Gatún Fm.	9.271	-79.918	15.97	11.621	Both
Gehannam Fm. (A–C)	29.264	30.023	41.3	33.901	Other sharks
Gehannam Fm. (D–G)	29.264	30.023	38	33.901	Both
Gironde (Salles, Serravalian)	44.551	-0.87	13.82	11.631	Orectolobiformes
Godo Fm.	36.01	139.37	15.97	11.621	Other sharks
Gosport Sand Fm.	31.583	-87.584	41	38.001	Orectolobiformes
Hannoura Fm.	37.09	136.94	15.97	11.621	Other sharks
Haratajino Fm.	36.3	138.84	15.97	13.821	Other sharks
Hardie Mine	32.329	-83.114	41	38.001	Orectolobiformes
Higashibessho Fm. (Burdig.-Langh.)	36.62	137.03	16.556	15.155	Other sharks
Horcón Formation	-33.04	-71.62	3.6	2.589	Other sharks
Iimuro Fm.	35.63	139.58	2.588	0.782	Other sharks
Irwinton Mb.	32.811	-83.173	38	33.901	Orectolobiformes
Iseyama Fm.	36.67	138.2	15.97	11.621	Other sharks
Isle of Hope	31.966	-81.072	0.126	0.0119	Orectolobiformes
Jama Formation	-0.2	-80.26	2.588	0.782	Other sharks
Jbel Qatrani Fm.	29.52	30.38	33.9	28.101	Other sharks
Jordan (Dahikiya)	31.167	31.167	38	33.901	Orectolobiformes
Jordan (Dahikiya)	31.167	36.942	38	33.901	Both
Jordan (Qasr Ouzaykhim)	31.83	36.81	56	47.801	Other sharks
Jordan (Wadi Ruweishid)	32.5	38.2	47.8	41.001	Other sharks
Kebar	33.844	9.4	41	38.001	Orectolobiformes
Keriam (Seria Fm.)	4.817	114.702	13.5	6.5	Both
Khari Nadi Fm.	23.25	69.63	23.03	20.441	Other sharks
Khuiala Fm. (Lower)	27.13	70.42	56	47.801	Both
Kibli el Ahram	31.138	29.971	47.8	38.001	Orectolobiformes
Kiev (Light Blue Clay)	50.45	30.55	38	33.901	Other sharks
Komiya Fm.	35.75	139.31	2.588	0.782	Other sharks
Kurosedani Fm. (Burdig.)	36.64	137.21	17.277	16.488	Other sharks
Lacui Fm.	-42.63	-74.11	23.03	15.971	Other sharks
Landana (Cabinda)_19-24	-5.23	12.14	56	47.801	Other sharks
Landana (Cabinda)_29-32	-5.14	12.08	47.8	41.001	Orectolobiformes
Léognan	44.729	-0.6	20.44	15.971	Orectolobiformes
Liuchungchi Fm.	23.47	120.45	1.8	0.774	Other sharks
Loupian (Mas Cambelliès)	43.449	3.615	15.97	13.821	Orectolobiformes
Lower Pittsburg Bluff Formation	45.901	-123.152	28.1	23.031	Both
Loxton sands	-34.451	140.57	5.333	3.601	Both
Mahajanga basin	-15.71	46.35	47.8	38.001	Both
Mangyshlak (Kujulus)	43.66	52.01	41	38.001	Other sharks
Mebrouk (Tunisia)	33.844	9.4	38	33.901	Orectolobiformes
Mebrouk (Tunisia)	33.844	9.4	38	28.101	Other sharks
Meridian Sand/Tallahatta	33.733	-86.588	56	41.301	Orectolobiformes
Métaloui	34.316	8.402	56	47.801	Orectolobiformes
Midarawa Fm.	26.254	29.268	47.8	38.001	Both
Mietingen-Baltringen	48.173	9.864	20.44	15.971	Orectolobiformes
Mina Fosforita	-27.05	-70.85	11.62	5.334	Other sharks
Mokattam	30.033	31.283	41.3	33.901	Orectolobiformes
Mokattam	30.033	31.283	56	33.901	Orectolobiformes
NA	-13.83	-76.25	47.8	41.001	Other sharks
NA	-14.75	-74.84	5.333	2.589	Other sharks
NA	-14.75	-74.84	7.25	5.334	Other sharks
NA	-14.75	-74.84	11.62	5.334	Other sharks
NA	-2.24	-80.83	2.588	0.0118	Other sharks
NA	-2.99	120	2.588	0.782	Other sharks
NA	-27.42	-70.49	5.333	3.601	Other sharks
NA	-27.76	31.24	20.44	15.971	Other sharks
NA	-29.95	-71.33	23.03	5.334	Other sharks
NA	-3.32	-71.85	11.62	5.334	Other sharks
NA	-3.32	-71.85	28.1	23.031	Other sharks
NA	-32.62	-58.93	11.62	5.334	Other sharks
NA	-33.94	-71.83	20.44	15.971	Other sharks
NA	-35.02	138.54	38	33.901	Other sharks
NA	-36.85	174.72	5.333	3.601	Other sharks
NA	-36.94	140.73	41	38.001	Other sharks
NA	-37.736	148.431	28.1	15.971	Other sharks
NA	-37.98	145.03	5.333	2.589	Other sharks
NA	-37.98	145.03	5.333	3.601	Other sharks
NA	-37.98	145.03	15.97	13.821	Other sharks
NA	-38.086	144.269	23.03	15.971	Other sharks
NA	-38.09	144.26	23.03	15.971	Other sharks
NA	-38.2	144.28	33.9	23.031	Other sharks
NA	-38.51	174.7	3.6	2.589	Other sharks
NA	-39.51	176.9	5.333	2.589	Other sharks
NA	-39.76	174.78	23.03	5.334	Other sharks
NA	-40.95	145.7	33.9	23.031	Other sharks
NA	-42.71	173.27	11.63	7.251	Other sharks
NA	-43.33	171.49	23.03	5.334	Other sharks
NA	-43.33	171.49	15.97	13.821	Other sharks
NA	-44.02	169.03	20.44	15.971	Other sharks
NA	-44.37	170.98	47.8	41.001	Other sharks
NA	-44.63	170.49	23.03	15.971	Other sharks
NA	-44.86	170.68	28.1	23.031	Other sharks
NA	-45.07	170.95	33.9	23.031	Other sharks
NA	-49.3	-67.73	23.03	5.334	Other sharks
NA	-5.056	12.321	23.03	5.334	Other sharks
NA	-6.18	39.2	5.333	0.0118	Other sharks
NA	-6.6	110.82	23.03	5.334	Other sharks
NA	-6.92	113.89	23.03	15.971	Other sharks
NA	-64.239	-56.603	47.8	23.031	Other sharks
