it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	tot_length
400000	-956.3740175074429	-129.36326441625013	-827.0107530911928	184.459295810202	0.0	10.111885840893438	14.484028911332452	0.21254051310622388	0.18369177042208315	0.33283583744567324	0.2662723441589803	0.09754537691412085	0.09850879314433819	0.11683824000826251	0.2597979037262398	0.03625999046323602	0.042328683120655096	0.4371677912115689	0.047461422590947294	0.18424566175152152	0.18640003995149984	0.11784368213560603	0.2751449253138243	0.1516733692132115	0.06995562174763852	0.1573316819031207	0.3023498976606699	0.11007739124386819	0.08223244238895369	0.4469856385969955	0.030674594517195165	0.06514311606451265	0.024893688876197105	1109.800449283075
420000	-964.8595225292966	-129.49615738203897	-835.3633651472576	184.459295810202	0.0	5.8986057535902265	17.887926106703123	0.16396261226037326	0.09477920190709865	0.16701593362686432	0.20225402454757024	0.1215726880597492	0.20094091950398896	0.22352455850400696	0.34627827989210824	0.029416050223730995	0.03587106579318152	0.37761719891927037	0.05848085083623802	0.21097456380653376	0.15660277685628357	0.11858420991350618	0.32214230494668644	0.09107000289985365	0.050440526355063305	0.24665515815988864	0.2941056189749452	0.2041018945592256	0.0368305859843192	0.6285129383551457	0.0803921435881081	0.04217084657569335	0.011253531625095601	1109.800449283075
440000	-962.2468056897493	-129.5212005427278	-832.7256051470215	184.459295810202	0.0	14.907447133356653	11.774631455948168	0.24483723745685104	0.07493453615490664	0.2790907101356799	0.17624184356951053	0.09766092309877622	0.11179548116127301	0.10470460525422084	0.24112103746580132	0.026200585754946628	0.17940952386872	0.5322401674466435	0.043078962398433354	0.1891177385365435	0.19577104312705804	0.0967161098819084	0.20993861968723498	0.1969937133896878	0.07692247583944434	0.14831086077151265	0.37158577117531083	0.13044883406480454	0.08392568427761123	0.5468312506900683	0.1484619910652979	0.17191599066479912	0.009871823599694386	1109.800449283075
460000	-964.4252533991682	-129.09343197587114	-835.3318214232971	184.459295810202	0.0	9.626251362883796	18.14162236431318	0.2343338261175261	0.15831234691227028	0.2863948678530015	0.1499460973592041	0.1954613701649559	0.13620359432642748	0.11916109846205104	0.20799614582984913	0.0402054719372166	0.0034073366084988836	0.3328465755191187	0.08630431901207558	0.15675601081660942	0.10170882438725062	0.1506684116329232	0.2652841327384948	0.20173373871865813	0.09029906082981838	0.15828401923686547	0.5328834738152517	0.1250522673499183	0.08436154629844628	1.1969065479853878	0.26291038314336584	0.05058409605218784	0.007191956200238143	1109.800449283075
480000	-959.3026233922553	-129.48199545219288	-829.8206279400624	184.459295810202	0.0	18.55096657698286	11.602088030248435	0.16218289367012634	0.14473391361466298	0.2983137041203147	0.07296472156395031	0.14211741373225542	0.21874453526662738	0.1265019657181304	0.2620269332619621	0.012085694212610697	0.061308675625144554	0.4721575966468648	0.0027285145326355676	0.16971897067289585	0.14320317187834633	0.12853104779573565	0.19723199946452735	0.1623287387236943	0.10085531474166012	0.22771064816709588	0.35741012923073145	0.12020918124261529	0.12677821684117077	0.5158402786030996	0.19065116121480263	0.07442763669675902	0.009291147740993717	1109.800449283075
500000	-956.5371077795942	-129.2454955218629	-827.2916122577312	184.459295810202	0.0	0.7992100068006233	1.0021400933753266	0.13910867675119581	0.16142995769388233	0.38457372385183275	0.2507189945390431	0.1581180299614147	0.16450424047903237	0.08403434856648868	0.256691479656872	0.02745129875937664	0.005195122617118627	0.42872498229215433	0.00801107667496524	0.1997649666047609	0.1277118967080814	0.08229460728402152	0.18512679911431554	0.14272217340020737	0.05591316153570562	0.18419429058223402	0.38921383837388435	0.09779710509428281	0.11053714361126672	0.7646050348700317	0.1821476307343335	0.06702567012135331	0.015341536599149035	1109.800449283075
520000	-966.7622489557054	-129.45532967168634	-837.3069192840192	184.459295810202	0.0	12.797236744379623	12.392180691359082	0.1475846157641974	0.10472062943264865	0.3931326613884952	0.20663423793561778	0.11829503940145163	0.17742258583500695	0.10218043688595578	0.17065106063007535	0.06024109797372614	0.12347581604085081	0.4129044197219394	0.0019493717433438985	0.16037481177667348	0.10779317119949115	0.08378647189723701	0.19108177192754425	0.14977009829324595	0.10612577629581926	0.22020996752910504	0.4017063038853553	0.1208357147277789	0.15138533656332673	0.7516787532400908	0.08807819373372879	0.03767977365767641	0.03367868653065266	1109.800449283075
540000	-968.760636101254	-129.44708280657764	-839.3135532946764	184.459295810202	0.0	7.57857269100488	1.1651014454937696	0.1817889326802879	0.26413021092741173	0.35173808216374186	0.10491188190461229	0.09368369815782132	0.08293250436175988	0.27153088041855955	0.2511583773462938	0.06160504562299619	0.0686071901057542	0.29766063195951525	0.07044818452917744	0.184799978485156	0.21345441785548191	0.13369911650585103	0.19777983214961462	0.12610096382183228	0.031731181502784395	0.13057732151508114	0.5232720231356903	0.1495275827124122	0.15166864204297714	0.8188109409010328	0.1747078711386793	0.08166134915000602	0.00563521838775845	1109.800449283075
560000	-961.0309946746281	-130.46406135468743	-830.5669333199406	184.459295810202	0.0	1.6356008226492054	16.26006585344941	0.1451690318311973	0.13167165014417168	0.3760804549230491	0.11073980749374635	0.09972104518922306	0.11983333469077621	0.17917052910859654	0.29958999080357207	0.05750638280488802	0.05372646501675335	0.17360123083829362	0.02525625758564229	0.1700588610995082	0.10744482783986035	0.12221542240274763	0.18645172684747024	0.17376496719618875	0.08284367376134225	0.18782570462782458	0.481623120504108	0.15474281570652676	0.08885136727907353	0.45174535676387073	0.371716308798311	0.08047757425382103	0.004376636838660541	1109.800449283075
580000	-961.0372617745592	-129.91562562280185	-831.1216361517573	184.459295810202	0.0	12.35325847797149	17.208502645256978	0.2028706456491746	0.16832617132317818	0.3354283762121823	0.14362006798511637	0.11754126468921075	0.15517069575282721	0.1655155661384618	0.25570306656782704	0.04663429394238244	0.037769493536994304	0.223159583238268	0.06546805694419082	0.19439236560998008	0.13297559480936616	0.14087365810061203	0.2679421191800597	0.22595867997541166	0.1131831924241387	0.25150359289864943	0.3306898161488715	0.23692236440904915	0.054246391550045854	0.4449746094971961	0.03202455021430463	0.07681150345489436	0.014321752960529186	1109.800449283075
