Species	Status	MinT	MaxT
Plicatoscyllium_globidens	 extinct	72.101	76.4
Plicatoscyllium_globidens	 extinct	72.101	83.6
Plicatoscyllium_globidens	 extinct	72.101	83.6
Plicatoscyllium_lehneri	 extinct	66.001	70.1
Plicatoscyllium_lehneri	 extinct	66.001	70.1
Plicatoscyllium_lehneri	 extinct	66.001	70.1
Plicatoscyllium_lehneri	 extinct	66.001	70.1
Plicatoscyllium_lehneri	 extinct	66.001	70.1
Plicatoscyllium_lehneri	 extinct	66.001	72.1
Plicatoscyllium_lehneri	 extinct	66.001	72.1
Plicatoscyllium_lehneri	 extinct	66.001	72.1
Plicatoscyllium_minutum	 extinct	66.001	70.1
Plicatoscyllium_minutum	 extinct	66.001	70.1
Plicatoscyllium_minutum	 extinct	66.001	72.1
Plicatoscyllium_minutum	 extinct	66.001	72.1
Plicatoscyllium_minutum	 extinct	66.001	72.1
Plicatoscyllium_youssoufiaense	 extinct	66.001	70.1
Plicatoscyllium_youssoufiaense	 extinct	66.001	70.1
Plicatoscyllium_youssoufiaense	 extinct	66.001	70.1
Plicatoscyllium_youssoufiaense	 extinct	66.001	70.1
Plicatoscyllium_youssoufiaense	 extinct	66.001	70.1
Plicatoscyllium_youssoufiaense	 extinct	66.001	70.1
Protoginglymostoma_ypresiensis	 extinct	47.801	56
Protoginglymostoma_ypresiensis	 extinct	47.801	56
Protoginglymostoma_ypresiensis	 extinct	47.801	56
Protoginglymostoma_ypresiensis	 extinct	47.801	56
Protoginglymostoma_ypresiensis	 extinct	47.801	56
Pseudoginglymostoma_erguitaense	 extinct	70.101	72.1
Pseudoginglymostoma_idiri	 extinct	66.001	70.1
Pseudoginglymostoma_idiri	 extinct	66.001	72.1
Pseudospinax_heterodon	 extinct	96.201	100.5
Pseudospinax_heterodon	 extinct	96.201	100.5
Pseudospinax_heterodon	 extinct	100.501	107.6
Pseudospinax_heterodon	 extinct	100.501	107.6
Pseudospinax_heterodon	 extinct	100.501	107.6
Pseudospinax_heterodon	 extinct	100.501	107.6
