Order	Family	Genus	Species	Reported as	Earliest Age	Latest Age	Stratigraphic age	Country	Paleobiogeography_all	Paleobiogeography	Latitude	Longitude	References
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium estesi	Brachaelurus sp.	70.6	66.001	Lancian	United States	Western Atlantic	Outside_Tethys	41.7913536	-107.2433099	Wroblewski et al. (2004)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium estesi		76.4	72.101	Campanian (Upper)	United States	Western Atlantic	Outside_Tethys	37.4999872	-111.5840587	Kirkland et al. (2013)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium estesi		83.6	72.101	Campanian	United States	Western Atlantic	Outside_Tethys	37.2882506	-111.7669407	Kirkland et al. (2013)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium hashimiaensis		85.8	83.601	Santonian (Upper)	Jordan	Tethys	Tethys	31	35.716667	Mustafa et al. (2002)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium lobatum		93.9	89.801	Turonian	Czech Republic	Tethys	Tethys	49.3725903	14.9599829	Reuss (1846b)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium markaguntensis		76.4	70.101	Campanian (Upper) - Maastrichtian (Lower)	United States	Western Atlantic	Outside_Tethys	40.368322	-107.5436798	Brand et al. (2022)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium markaguntensis		89.8	86.301	Coniacian	United States	Western Atlantic	Outside_Tethys	37.2744605	-111.6692135	Kirkland et al. (2013)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium meyeri		70.1	66.001	Maastrichtian (Upper)	United States	Western Atlantic	Outside_Tethys	33.4270308	-95.435648	Case & Cappetta (1997)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium meyeri		83.6	80.601	Campanian (Lower)	United States	Western Atlantic	Outside_Tethys	33.4270308	-95.435648	Cappetta & Case (1999)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium nessovi		89.8	83.601	Coniacian-Santonian	Uzbekistan	Tethys	Tethys	42.4703637	65.7405909	Ward & Averianov (1999)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium nessovi		89.8	86.301	Coniacian	Uzbekistan	Tethys	Tethys	42.4703637	65.7405909	Ward & Averianov (1999)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium sp.	Chiloscyllium missouriense	83.6	72.101	Campanian	Canada	Western Atlantic	Outside_Tethys	49.4770469	-111.445316	Peng et al. (2001)
