Family	Genus	Species	latitude	longitude
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0589727537	151.1597048148
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.4473717722	151.450236034
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7141735531	152.1507815075
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8002884572	151.2940237121
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.4545833333	151.4564166667
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.992116	151.231191
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.6796908005	152.2352806886
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.1568565177	153.2059397033
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799301448	151.2815009334
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.71444762	152.1516323
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.05817	153.2021466667
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7141735531	152.1507815075
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7141735531	152.1507815075
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.71444762	152.1516323
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0624132009	151.1594203839
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7100904259	152.1588145963
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7100904259	152.1588145963
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0639059049	151.1581885818
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.0964626719	153.2071924568
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0598727822	151.1590300354
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0632926369	151.1570835117
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.80654	151.30621
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7994978047	151.2964643401
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7992111951	151.2939322834
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.9642366667	151.2521666667
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8004373746	151.2941071712
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0624393869	151.1597132966
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.4228192	150.9094276
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8003782485	151.294079008
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.1087216667	153.20779
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.4457055518	151.4497367724
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8004405121	151.2947623166
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8003039976	151.2959034209
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8003392169	151.2949270601
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8004108259	151.2952533684
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7128386928	152.1561960685
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7128386928	152.1561960685
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7136703556	152.1529824875
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8003782312	151.2941004657
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.4452907877	151.450041888
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7171303261	152.1419271163
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7996680243	151.2938618376
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8004189167	151.2941345639
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.712983228	152.1568344852
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.5638981439	151.2660616318
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0603450216	151.1599006052
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-28.802194953	153.5955770048
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714703763	152.151270546
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.9154695525	151.2637541844
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7989483666	151.2961818599
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.0543528333	153.1953133333
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-29.3636764259	153.3736758529
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7125091332	152.1500688704
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7128386928	152.1561960685
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.4314985033	153.0763856416
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7140005232	152.1509928728
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7141735531	152.1507815075
