Family	Genus	Species	Latitude	Longitude	References
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.71009	152.158815	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.71009	152.158815	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800392	151.294146	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.060409	151.158595	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.05973	151.160769	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.679691	152.235281	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.679691	152.235281	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.71009	152.158815	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.84437	151.28636	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800077	151.294807	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.709101	152.159213	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.639956	152.838791	Inaturalist
