Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	epoch_times[9]	epoch_times[10]	epoch_times[11]	epoch_times[12]	epoch_times[13]	epoch_times[14]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
820	-116.4332	-78.27543	-38.15781	0.643548	0.356452	243.596	225.802	209.293	188.984	146.331	124.522	119.447	80.4252	77.2039	40.4398	25.463	7.67399	4.15147	0	1.667399	0.3564523	0.6435477	0.08618925
830	-117.1571	-80.24221	-36.91494	0.783601	0.216399	245.77	233.697	211.089	193.677	158.095	122.631	104.128	84.5095	65.7533	41.5978	33.9267	8.13348	4.2005	0	1.111117	0.2163994	0.7836006	0.07542187
840	-117.0051	-79.52968	-37.47542	0.342057	0.657943	248.69	225.893	216.112	197.914	142.133	131.32	101.176	90.8639	68.1165	41.7556	35.5107	9.78982	4.0608	0	1.322516	0.657943	0.342057	0.08896489
850	-117.3767	-79.95513	-37.42156	0.0995954	0.900405	242.646	222.637	215.456	188.68	147	135.967	102.222	81.8801	76.2408	43.8299	26.2156	11.5469	4.16266	0	0.996706	0.9004046	0.09959538	0.150641
860	-117.0075	-80.37898	-36.62856	0.520829	0.479171	246.579	229.756	202.612	188.563	143.739	132.361	102.593	94.2591	67.9153	52.6032	31.9946	18.7519	4.82504	0	1.050875	0.4791707	0.5208293	0.06265316
870	-118.5472	-79.55713	-38.99009	0.646105	0.353895	259.013	230.148	200.679	185.462	140.969	133.137	114.162	81.093	78.7479	49.5486	22.8912	14.0955	3.59035	0	1.861511	0.3538947	0.6461053	0.1308653
880	-117.1072	-78.92875	-38.17842	0.46119	0.53881	254.34	230.815	200.064	182.799	143.886	123.785	118.657	81.0323	71.837	54.0971	28.2118	13.7874	3.38108	0	1.685729	0.5388103	0.4611897	0.08461826
890	-118.0525	-81.08237	-36.97015	0.382158	0.617842	252.68	227.845	201.153	197.79	159.884	135.957	109.384	84.9466	62.5759	54.9659	24.5491	6.26936	4.312	0	1.446963	0.6178418	0.3821582	0.04173526
900	-117.6479	-80.21934	-37.4286	0.859067	0.140933	258.61	223.578	202.36	197.612	155.488	131.464	118.535	84.75	76.433	55.8647	28.9484	11.3631	4.94137	0	1.04556	0.1409327	0.8590673	0.1406415
910	-115.1176	-77.46763	-37.64993	0.277425	0.722575	258.902	225.267	207.344	191.089	144.687	126.297	106.699	83.1876	74.5437	54.4806	30.5666	17.7196	4.85309	0	1.557006	0.722575	0.277425	0.06550413
920	-114.9438	-77.93204	-37.0118	0.0561203	0.94388	256.262	229.713	204.469	186.615	147.414	137.718	116.197	83.9477	67.7141	57.5826	28.2772	16.6322	4.72698	0	1.132045	0.9438797	0.05612034	0.08011028
930	-115.8176	-80.48968	-35.32789	0.38797	0.61203	244.271	237.787	208.37	192.828	149.708	134.069	114.598	83.9296	75.4293	54.4112	31.5034	11.978	4.77901	0	0.9922302	0.6120299	0.3879701	0.01868805
940	-114.8796	-77.61875	-37.26087	0.0157202	0.98428	248.619	233.72	216.478	198.946	146.863	135.755	113.458	85.7139	67.1763	42.4981	38.2254	12.1491	4.77822	0	1.262787	0.9842798	0.01572017	0.0806746
950	-119.9065	-81.5502	-38.35626	0.0522658	0.947734	246.121	226.716	211.856	192.226	140.623	130.906	109.539	92.7897	71.161	45.3645	36.7403	11.9373	4.72857	0	1.503083	0.9477342	0.05226577	0.1485997
960	-117.1705	-82.18694	-34.98355	0.137443	0.862557	248.599	232.001	205.497	195.855	147.446	129.995	112.876	84.2934	68.2457	42.7844	38.1463	17.1836	4.843	0	0.6791772	0.8625575	0.1374425	0.01733846
